ir,red
117367,101280
117424,101289
117441,101266
117412,101251
117500,101282
117566,101360
117590,101372
117574,101344
117603,101330
117663,101377
117686,101400
117665,101404
117731,101429
117726,101377
117772,101422
117820,101456
117797,101455
117851,101447
117827,101381
117876,101449
117886,101491
117953,101519
117904,101471
117931,101455
117960,101493
118038,101535
118059,101528
118036,101520
118036,101503
118075,101537
118141,101549
118135,101543
118134,101555
118090,101523
118114,101567
118185,101564
118170,101566
118167,101582
118130,101540
118182,101583
118239,101616
118239,101611
118217,101608
118198,101570
118265,101577
118289,101636
118261,101649
118293,101644
118268,101606
118313,101645
118356,101659
118344,101648
118366,101653
118358,101626
118406,101671
118440,101710
118423,101660
118423,101671
118413,101677
118523,101707
118508,101753
118567,101744
118556,101725
118566,101692
118590,101744
118656,101771
118636,101786
118671,101774
118620,101743
118656,101795
118627,101776
118595,101747
118481,101701
118328,101619
118153,101566
117931,101475
117657,101339
117336,101190
116999,101054
116737,100970
116467,100901
116206,100786
115952,100645
115740,100548
115607,100526
115488,100489
115343,100430
115181,100360
115093,100302
115031,100294
115007,100267
114916,100235
114897,100209
114822,100170
114833,100221
114864,100234
114854,100247
114830,100195
114815,100171
114902,100254
114949,100252
114932,100253
114934,100250
114980,100230
115017,100302
115089,100344
115127,100365
115130,100311
115145,100329
115231,100398
115277,100413
115283,100445
115310,100417
115333,100411
115473,100513
115502,100539
115543,100499
115531,100500
115554,100481
115588,100550
115639,100527
115616,100543
115646,100542
115673,100560
115732,100589
115759,100609
115788,100625
115797,100620
115815,100596
115906,100658
116006,100705
116000,100703
116045,100699
116119,100700
116223,100809
116257,100799
116290,100834
116345,100811
116417,100813
116491,100883
116504,100895
116481,100881
116490,100868
116540,100867
116579,100922
116533,100910
116520,100895
116497,100877
116497,100849
116499,100889
116512,100904
116484,100856
116401,100827
116410,100825
116410,100890
116387,100823
116347,100806
116327,100785
116355,100809
116389,100831
116361,100798
116339,100796
116307,100792
116354,100809
116387,100841
116362,100879
116387,100867
116372,100801
116388,100832
116457,100879
116464,100903
116481,100870
116490,100850
116513,100900
116616,100971
116619,100956
116655,100944
116645,100918
116703,100964
116767,100999
116795,101021
116788,101029
116788,101026
116849,101055
116913,101091
116955,101074
116997,101083
116983,101045
117087,101113
117165,101156
117190,101162
117208,101169
117182,101177
117264,101205
117302,101235
117367,101258
117400,101239
117358,101229
117438,101257
117532,101303
117533,101288
117551,101299
117545,101284
117621,101335
117693,101403
117708,101407
117723,101361
117691,101337
117766,101376
117820,101410
117787,101437
117794,101440
117816,101390
117911,101443
117924,101466
118004,101502
117976,101491
117919,101440
118036,101501
118047,101526
118114,101539
118065,101549
118070,101473
118141,101537
118154,101566
118196,101560
118199,101555
118166,101520
118241,101581
118245,101613
118274,101622
118262,101618
118255,101583
118286,101633
118305,101638
118356,101640
118313,101615
118342,101571
118390,101649
118410,101684
118423,101660
118443,101645
118387,101626
118497,101676
118524,101693
118527,101698
118504,101670
118490,101680
118551,101727
118592,101727
118581,101717
118585,101731
118585,101723
118665,101771
118670,101812
118717,101809
118712,101779
118712,101774
118780,101807
118837,101867
118856,101838
118843,101820
118834,101805
118935,101869
118936,101895
118966,101909
118966,101883
118986,101855
119010,101931
119021,101950
118992,101907
118888,101837
118819,101789
118740,101760
118467,101660
118192,101516
117852,101347
117500,101226
117229,101134
116888,101003
116605,100890
116247,100750
116058,100681
115930,100639
115700,100555
115582,100493
115405,100399
115284,100371
115267,100370
115139,100318
115077,100316
115004,100240
115013,100220
115024,100270
115016,100284
115016,100290
114990,100248
115000,100250
115024,100303
115077,100321
115115,100306
115115,100278
115169,100361
115272,100379
115314,100419
115350,100411
115337,100354
115389,100448
115492,100529
115579,100524
115580,100535
