ir,red
109245,98027
109201,97919
109140,97940
109122,97905
109235,98000
109246,97986
109213,97968
109189,97864
109133,97875
109170,97943
109198,97972
109157,97941
109117,97871
109116,97866
109184,97935
109253,97971
109205,97883
109108,97909
109092,97838
109186,97948
109206,97930
109182,97883
109125,97907
109112,97833
109172,97977
109246,97947
109225,97977
109225,97874
109128,97891
109232,97984
109314,98010
109308,98002
109252,97889
109285,97926
109350,98032
109448,98064
109412,98049
109345,97960
109390,97983
109503,98106
109517,98091
109500,98104
109516,98028
109488,98060
109651,98158
109654,98203
109682,98113
109592,98122
109684,98119
109744,98229
109827,98200
109742,98220
109787,98170
109740,98151
109944,98278
109903,98288
109878,98253
109831,98216
109915,98245
109990,98303
110033,98371
109995,98298
110003,98260
109982,98303
110138,98352
110157,98364
110079,98313
110069,98280
110103,98337
110167,98444
110212,98357
110195,98410
110171,98315
110218,98382
110316,98434
110306,98430
110277,98468
110280,98342
110265,98430
110454,98487
110467,98494
110436,98440
110387,98414
110443,98512
110594,98568
110536,98574
110568,98507
110470,98497
110530,98524
110682,98627
110668,98629
110607,98566
110567,98503
110662,98565
110686,98576
110716,98639
110657,98569
110564,98499
110551,98535
110549,98563
110509,98499
110331,98421
110142,98329
110076,98296
110046,98335
109908,98251
109782,98155
109536,97977
109481,97976
109409,98016
109292,97895
109118,97865
108886,97729
108930,97736
108870,97718
108764,97714
108631,97612
108470,97493
108413,97559
108479,97562
108323,97501
108289,97457
108110,97386
108184,97425
108183,97496
108081,97436
108106,97393
107936,97296
108027,97366
108101,97464
108043,97362
107988,97356
107872,97312
107915,97360
108034,97409
107972,97351
107946,97301
107848,97282
107907,97372
108035,97435
107951,97398
108001,97362
107849,97284
107984,97420
108033,97382
108007,97392
107932,97354
107841,97333
108071,97384
108041,97454
108077,97465
108041,97400
107977,97358
108169,97448
108172,97508
108219,97504
108216,97451
108128,97407
108346,97554
108411,97604
108344,97563
108359,97568
108292,97478
108385,97615
108464,97601
108474,97616
108387,97582
108344,97525
108459,97580
108523,97651
108426,97629
108425,97527
108279,97548
108469,97539
108445,97581
108440,97573
108377,97550
108290,97495
108388,97536
108408,97640
108430,97567
108364,97540
108260,97480
108386,97570
108456,97588
108340,97573
108346,97561
108243,97467
108455,97582
108435,97615
108380,97554
108324,97504
108303,97528
108427,97585
108472,97566
108451,97631
108405,97523
108357,97569
108538,97636
108541,97663
108560,97624
108489,97613
108488,97600
108572,97637
108610,97710
108645,97663
108636,97657
108582,97586
108751,97693
108786,97764
108815,97757
108777,97710
108724,97707
108852,97767
108929,97828
108848,97820
108906,97785
108856,97709
109027,97838
108981,97892
109054,97827
108954,97812
108991,97853
109102,97897
109173,97897
109144,97857
109124,97887
109112,97825
109216,97930
109306,97999
109242,97963
109248,97931
109228,97920
109337,98028
109410,98030
109385,97983
109360,97973
109330,97962
109527,98052
109494,98042
109530,98076
109460,98048
109453,98049
109597,98093
109686,98165
109669,98130
109596,98071
109616,98123
109742,98158
109835,98231
109783,98151
109719,98157
109779,98163
109849,98236
109946,98210
109853,98243
109882,98168
109840,98207
109934,98294
109972,98291
109895,98255
109864,98163
109851,98198
109872,98220
109860,98167
109725,98137
109527,98003
109512,98009
109436,97987
109376,97947
109202,97882
108979,97732
108924,97723
108893,97786
108758,97688
108626,97563
108470,97453
108361,97482
108392,97537
108293,97388
108205,97392
107996,97295
107997,97331
108024,97285
107940,97285
107878,97256
107746,97169
107761,97234
107750,97241
107785,97203
107680,97202
107559,97112
107633,97189
107709,97193
107699,97180
107597,97179
107577,97086
107606,97179
107723,97230
107659,97183
107645,97154
107607,97110
107708,97177
107717,97254
107760,97196
107687,97232
107601,97134
107730,97199
107826,97300
107775,97210
107778,97255
107727,97205
107831,97272
107887,97323
107954,97312
107927,97320
107843,97238
108036,97380
108122,97444
108106,97371
108177,97396
108058,97368
108269,97472
108294,97508
108269,97461
108340,97489
108255,97391
108342,97497
108419,97608
108378,97492
108388,97544
108320,97403
108396,97503
108526,97567
108413,97546
108439,97530
108338,97389
108443,97534
108552,97573
108468,97553
108425,97512
108362,97414
108467,97552
108515,97522
108450,97573
108423,97530
108378,97453
108470,97522
108501,97622
108536,97542
108469,97567
108383,97459
108535,97535
108565,97645
108553,97588
108554,97581
108482,97536
108642,97600
108648,97707
108684,97616
108633,97620
108575,97569
108752,97649
108778,97705
108819,97709
108760,97696
108717,97671
108904,97763
108920,97754
108920,97787
108859,97749
108866,97667
108957,97838
109110,97838
109019,97804
109072,97787
108975,97783
109127,97912
109177,97860
109167,97901
109140,97857
109137,97791
109250,97948
109358,97954
109329,97933
109292,97924
109211,97856
109360,97954
109447,98030
109415,98025
109410,97972
109303,97948
109492,98049
109507,98033
109539,98051
109459,98022
109463,97945
109642,98092
109680,98141
109623,98083
109629,98064
109551,98043
109725,98113
109791,98187
109777,98172
109734,98096
109769,98118
109843,98193
109892,98213
109937,98219
109892,98193
109869,98210
110011,98255
110075,98324
110050,98257
110040,98266
109996,98249
110154,98374
110150,98312
110174,98369
110140,98323
110156,98285
110237,98402
110345,98394
110238,98414
110241,98290
110207,98329
110273,98395
110261,98417
110227,98347
110043,98252
109983,98189
109935,98232
109831,98133
109684,98106
109527,97908
109368,97933
109366,97943
109217,97870
109069,97745
108893,97700
108743,97600
108812,97658
108656,97585
108518,97510
108402,97409
108251,97394
108335,97448
