ir,red
109151,98510
109047,98480
108970,98411
108817,98384
108779,98372
108693,98352
108630,98281
108550,98258
108470,98226
108400,98211
108337,98198
108304,98147
108212,98134
108166,98111
108150,98077
108113,98105
108075,98081
108027,98072
108019,98053
108009,98058
107983,98051
108002,98073
108005,98050
107967,98025
107998,98049
107974,98063
108004,98064
108011,98066
108027,98089
108057,98087
108048,98077
108070,98085
108107,98107
108132,98117
108120,98105
108127,98118
108160,98123
108182,98143
108142,98148
108221,98144
108224,98158
108224,98158
108242,98166
108287,98189
108315,98196
108336,98213
108333,98224
108412,98226
108438,98245
108480,98269
108487,98267
108519,98290
108536,98300
108579,98290
108591,98326
108614,98313
108643,98332
108632,98314
108647,98335
108680,98347
108718,98340
108731,98349
108683,98352
108672,98325
108724,98361
108713,98366
108702,98350
108701,98359
108698,98332
108699,98330
108701,98332
108717,98357
108703,98318
108684,98322
108702,98347
108693,98335
108704,98351
108661,98344
108696,98332
108680,98327
108700,98340
108709,98323
108701,98332
108723,98317
108718,98349
108743,98338
108749,98339
108718,98386
108733,98344
108776,98368
108785,98369
108780,98375
108794,98371
108821,98405
108823,98390
108840,98414
108883,98378
108876,98437
108903,98420
108910,98415
108923,98434
108962,98472
108972,98475
109026,98450
109021,98482
109035,98470
109060,98495
109081,98505
109108,98512
109137,98504
109140,98525
109187,98516
109168,98534
109221,98567
109220,98573
109259,98583
109262,98589
109283,98589
109286,98597
109326,98586
109356,98639
109359,98649
109381,98614
109375,98649
109408,98635
109422,98647
109446,98657
109495,98675
109477,98686
109486,98695
109525,98704
109547,98701
109560,98700
109566,98731
109572,98714
109616,98735
109625,98736
109697,98762
109697,98784
109688,98796
109706,98763
109697,98767
109745,98773
109760,98796
109767,98813
109748,98824
109780,98823
109846,98809
109870,98847
109868,98849
109891,98860
109915,98828
109924,98867
109938,98858
109957,98875
109976,98873
109991,98882
109998,98899
109998,98896
109998,98895
110008,98883
109986,98861
109967,98882
109890,98862
109826,98795
109750,98773
109667,98738
109596,98676
109487,98658
109372,98621
109269,98575
109206,98525
109096,98506
109015,98459
108899,98424
108836,98370
108731,98343
108633,98308
108522,98257
108476,98216
108382,98211
108314,98162
108231,98133
108199,98097
108145,98077
108075,98073
108006,98042
107978,98060
107923,98016
107945,98017
107907,98035
107861,98011
107907,97999
107882,98006
107886,98026
107868,98042
107855,98006
107877,98025
107916,98020
107888,98025
107918,98026
107924,98023
107951,98039
107953,98057
107969,98052
107985,98065
107994,98058
108010,98064
108038,98084
108025,98076
108073,98100
108074,98102
108044,98118
108099,98110
108177,98143
108182,98149
108178,98146
108240,98155
108235,98179
108314,98206
108354,98207
108372,98238
108406,98249
108430,98245
108461,98270
108491,98282
108537,98282
108527,98286
108536,98318
108571,98325
108572,98290
108590,98325
108586,98325
108620,98325
108598,98305
108593,98312
108604,98353
108603,98314
108594,98296
108582,98334
108609,98327
108611,98298
108590,98303
108591,98301
108591,98327
108594,98300
108609,98291
108550,98300
108572,98302
108575,98306
108578,98301
108588,98283
108583,98326
108578,98287
108603,98324
108580,98312
108621,98305
108607,98337
108618,98327
108609,98307
108661,98324
108669,98346
108695,98308
108713,98340
108714,98349
108723,98344
108732,98371
108732,98388
108752,98367
108779,98404
108798,98366
108825,98368
108850,98386
108828,98405
108869,98416
108898,98437
108874,98412
108938,98458
108958,98456
108991,98475
109003,98469
108993,98497
109037,98514
109065,98493
109052,98510
109090,98508
109117,98519
109119,98557
109130,98551
109173,98524
109177,98550
109215,98564
109219,98567
109261,98580
109251,98592
109262,98604
109256,98621
109287,98597
109334,98633
109356,98628
109354,98642
109403,98626
109387,98652
109417,98667
109436,98659
109449,98682
109446,98685
109488,98695
109477,98671
109504,98693
109539,98683
109571,98700
109579,98711
109597,98712
109621,98760
109632,98727
109648,98743
109670,98737
109682,98753
109636,98776
109698,98768
109750,98796
109758,98799
109770,98796
109796,98791
109811,98828
109805,98826
109869,98835
109882,98845
109873,98857
109888,98868
109886,98855
109899,98862
109899,98868
109845,98858
109842,98833
109791,98826
109738,98800
109658,98759
109545,98705
109485,98700
109374,98607
109265,98573
109175,98525
109059,98485
108978,98441
108883,98408
108776,98387
108660,98319
108560,98293
108485,98237
108355,98212
108279,98160
108188,98122
108134,98101
108033,98090
107979,98037
107912,98040
107870,97990
107788,97974
107769,97985
107732,97964
107672,97930
107660,97955
107658,97946
107616,97927
107614,97929
107614,97933
107597,97943
107594,97920
107626,97930
107644,97963
107625,97941
107644,97947
107674,97960
107665,97953
107692,97959
107678,97949
107699,97957
107690,97967
107732,97989
107751,97988
107768,97980
107791,98000
107802,98021
107835,98024
107821,98028
107880,98028
